fname,time_sec,dominant_color
s01e01_muddy_puddles_1.jpg,0,#84b4f2
s01e01_muddy_puddles_2.jpg,5,#84b3f0
s01e01_muddy_puddles_3.jpg,10,#81b3ef
s01e01_muddy_puddles_4.jpg,15,#b2cae0
s01e01_muddy_puddles_5.jpg,20,#bfd3de
s01e01_muddy_puddles_6.jpg,25,#e9de84
s01e01_muddy_puddles_7.jpg,30,#e4de83
s01e01_muddy_puddles_8.jpg,35,#e7d487
s01e01_muddy_puddles_9.jpg,40,#e6d587
s01e01_muddy_puddles_10.jpg,45,#84b4f1
s01e01_muddy_puddles_11.jpg,50,#84b4f1
s01e01_muddy_puddles_12.jpg,55,#84b4f1
s01e01_muddy_puddles_13.jpg,60,#84b4f0
s01e01_muddy_puddles_14.jpg,65,#84b3f1
s01e01_muddy_puddles_15.jpg,70,#72c064
s01e01_muddy_puddles_16.jpg,75,#84b4f2
s01e01_muddy_puddles_17.jpg,80,#83b3f1
s01e01_muddy_puddles_18.jpg,85,#83b3f1
s01e01_muddy_puddles_19.jpg,90,#84b4f2
s01e01_muddy_puddles_20.jpg,95,#83b3f1
s01e01_muddy_puddles_21.jpg,100,#83b3f1
s01e01_muddy_puddles_22.jpg,105,#76b662
s01e01_muddy_puddles_23.jpg,110,#83b3f0
s01e01_muddy_puddles_24.jpg,115,#74b462
s01e01_muddy_puddles_25.jpg,120,#75bc63
s01e01_muddy_puddles_26.jpg,125,#75bd63
s01e01_muddy_puddles_27.jpg,130,#81b0ef
s01e01_muddy_puddles_28.jpg,135,#75b462
s01e01_muddy_puddles_29.jpg,140,#75b463
s01e01_muddy_puddles_30.jpg,145,#75b563
s01e01_muddy_puddles_31.jpg,150,#74b562
s01e01_muddy_puddles_32.jpg,155,#74b562
s01e01_muddy_puddles_33.jpg,160,#74b061
s01e01_muddy_puddles_34.jpg,165,#75b061
s01e01_muddy_puddles_35.jpg,170,#798e56
s01e01_muddy_puddles_36.jpg,175,#75b060
s01e01_muddy_puddles_37.jpg,180,#75b061
s01e01_muddy_puddles_38.jpg,185,#82c3c5
s01e01_muddy_puddles_39.jpg,190,#dad4b3
s01e01_muddy_puddles_40.jpg,195,#c6d191
s01e01_muddy_puddles_41.jpg,200,#73d3c0
s01e01_muddy_puddles_42.jpg,205,#bbc2c2
s01e01_muddy_puddles_43.jpg,210,#b1cccf
s01e01_muddy_puddles_44.jpg,215,#b1cccf
s01e01_muddy_puddles_45.jpg,220,#dccfb6
s01e01_muddy_puddles_46.jpg,225,#dccfb4
s01e01_muddy_puddles_47.jpg,230,#ddcfb4
s01e01_muddy_puddles_48.jpg,235,#84b4f2
s01e01_muddy_puddles_49.jpg,240,#86ca65
s01e01_muddy_puddles_50.jpg,245,#7fb9c2
s01e01_muddy_puddles_51.jpg,250,#74b963
s01e01_muddy_puddles_52.jpg,255,#74b668
s01e01_muddy_puddles_53.jpg,260,#75b268
s01e01_muddy_puddles_54.jpg,265,#74b266
s01e01_muddy_puddles_55.jpg,270,#79adaa
s01e01_muddy_puddles_56.jpg,275,#7bb9b1
s01e01_muddy_puddles_57.jpg,280,#74af67
s01e01_muddy_puddles_58.jpg,285,#6394d3
s01e01_muddy_puddles_59.jpg,290,#6294d3
s01e01_muddy_puddles_60.jpg,295,#6494d3
s01e01_muddy_puddles_61.jpg,300,#6594d4
s01e01_muddy_puddles_62.jpg,305,#040404
s01e02_mr_dinosaur_is_lost_1.jpg,0,#84b4f2
s01e02_mr_dinosaur_is_lost_2.jpg,5,#84b3f0
s01e02_mr_dinosaur_is_lost_3.jpg,10,#81b0ef
s01e02_mr_dinosaur_is_lost_4.jpg,15,#84b4f2
s01e02_mr_dinosaur_is_lost_5.jpg,20,#e4e9a0
s01e02_mr_dinosaur_is_lost_6.jpg,25,#b3d970
s01e02_mr_dinosaur_is_lost_7.jpg,30,#cbe471
s01e02_mr_dinosaur_is_lost_8.jpg,35,#cce471
s01e02_mr_dinosaur_is_lost_9.jpg,40,#80b7d1
s01e02_mr_dinosaur_is_lost_10.jpg,45,#81b6dc
s01e02_mr_dinosaur_is_lost_11.jpg,50,#7ec6c2
s01e02_mr_dinosaur_is_lost_12.jpg,55,#66bfb1
s01e02_mr_dinosaur_is_lost_13.jpg,60,#d8c8c3
s01e02_mr_dinosaur_is_lost_14.jpg,65,#e4deb4
s01e02_mr_dinosaur_is_lost_15.jpg,70,#75c3cf
s01e02_mr_dinosaur_is_lost_16.jpg,75,#c3b7d8
s01e02_mr_dinosaur_is_lost_17.jpg,80,#c0c0cc
s01e02_mr_dinosaur_is_lost_18.jpg,85,#5b62aa
s01e02_mr_dinosaur_is_lost_19.jpg,90,#73bf62
s01e02_mr_dinosaur_is_lost_20.jpg,95,#73bf62
s01e02_mr_dinosaur_is_lost_21.jpg,100,#73c063
s01e02_mr_dinosaur_is_lost_22.jpg,105,#b1d46d
s01e02_mr_dinosaur_is_lost_23.jpg,110,#ab53eb
s01e02_mr_dinosaur_is_lost_24.jpg,115,#8ecb70
s01e02_mr_dinosaur_is_lost_25.jpg,120,#b0d46c
s01e02_mr_dinosaur_is_lost_26.jpg,125,#8ec971
s01e02_mr_dinosaur_is_lost_27.jpg,130,#e8d773
s01e02_mr_dinosaur_is_lost_28.jpg,135,#8dc873
s01e02_mr_dinosaur_is_lost_29.jpg,140,#c67cdd
